dataModel,deviceId,dataPoint,dateObserved,value,latitude,longitude
Elogistik,pt91286,rangeOnReturn,2018-07-10T21:54:36-03:00,20,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-07-09T21:54:35-03:00,25,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-07-06T21:54:34-03:00,25,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-07-05T21:54:33-03:00,20,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-07-04T21:54:32-03:00,25,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-06-12T21:54:31-03:00,25,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-06-08T21:54:27-03:00,20,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-06-07T21:54:26-03:00,20,48.206001281738,16.397239685059
Elogistik,pt91286,rangeOnReturn,2018-06-05T21:54:25-03:00,20,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-11-06T12:36:55-02:00,null,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-11-06T12:36:50-02:00,null,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-11-06T12:36:49-02:00,null,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-11-06T12:36:48-02:00,null,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-09-28T21:55:30-03:00,58,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-09-27T21:55:29-03:00,58,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-09-26T21:55:29-03:00,53,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-09-25T21:55:28-03:00,61,48.206001281738,16.397239685059
Elogistik,pt91286,remainingBatteryOnReturn,2018-09-24T21:55:28-03:00,61,48.206001281738,16.397239685059
